"city","city_ascii","state_id","state_name","county_fips","county_name","county_fips_all","county_name_all","lat","lng","population","density","source","military","incorporated","timezone","ranking","zips","id"
"South Creek","South Creek","WA","Washington","53053","Pierce","53053","Pierce","46.9994","-122.3921","2500","125","polygon","FALSE","TRUE","America/Los_Angeles","3","98580 98387 98338","1840042075"
"Roslyn","Roslyn","WA","Washington","53037","Kittitas","53037","Kittitas","47.2507","-121.0989","947","84","polygon","FALSE","TRUE","America/Los_Angeles","3","98941 98068 98925","1840019842"
"Sprague","Sprague","WA","Washington","53043","Lincoln","53043","Lincoln","47.3048","-117.9713","441","163","polygon","FALSE","TRUE","America/Los_Angeles","3","99032","1840021107"
"Gig Harbor","Gig Harbor","WA","Washington","53053","Pierce","53053","Pierce","47.3352","-122.5968","9507","622","polygon","FALSE","TRUE","America/Los_Angeles","3","98332 98335","1840019855"
"Lake Cassidy","Lake Cassidy","WA","Washington","53061","Snohomish","53061","Snohomish","48.0639","-122.0920","3591","131","polygon","FALSE","TRUE","America/Los_Angeles","3","98223 98258 98270","1840041959"
"Tenino","Tenino","WA","Washington","53067","Thurston","53067","Thurston","46.8537","-122.8607","1830","491","polygon","FALSE","TRUE","America/Los_Angeles","3","98589","1840021144"
"Jamestown","Jamestown","WA","Washington","53009","Clallam","53009","Clallam","48.1229","-123.0911","289","191","polygon","FALSE","FALSE","America/Los_Angeles","3","98382","1840037668"
"Three Lakes","Three Lakes","WA","Washington","53061","Snohomish","53061","Snohomish","47.9420","-121.9924","3390","112","polygon","FALSE","FALSE","America/Los_Angeles","3","98290","1840018375"
"Curlew Lake","Curlew Lake","WA","Washington","53019","Ferry","53019","Ferry","48.7311","-118.6663","573","50","polygon","FALSE","TRUE","America/Los_Angeles","3","99166","1840043278"
"Chain Lake","Chain Lake","WA","Washington","53061","Snohomish","53061","Snohomish","47.9038","-121.9861","4280","156","polygon","FALSE","TRUE","America/Los_Angeles","3","98290","1840041915"
"Pateros","Pateros","WA","Washington","53047","Okanogan","53047","Okanogan","48.0536","-119.8994","701","536","polygon","FALSE","TRUE","America/Los_Angeles","3","98846","1840019763"
"Rosburg","Rosburg","WA","Washington","53069","Wahkiakum","53069","Wahkiakum","46.3076","-123.6344","385","6","polygon","FALSE","FALSE","America/Los_Angeles","3","98643","1840023878"
"Parkland","Parkland","WA","Washington","53053","Pierce","53053","Pierce","47.1417","-122.4376","37019","1653","polygon","FALSE","FALSE","America/Los_Angeles","3","98444 98445 98447 98448","1840018453"
"Birch Bay","Birch Bay","WA","Washington","53073","Whatcom","53073","Whatcom","48.9230","-122.7543","8642","208","polygon","FALSE","FALSE","America/Los_Angeles","3","98230","1840017289"
"Ashford","Ashford","WA","Washington","53053","Pierce","53053","Pierce","46.7537","-122.0113","162","30","polygon","FALSE","FALSE","America/Los_Angeles","3","98304","1840017363"
"Navy Yard City","Navy Yard City","WA","Washington","53035","Kitsap","53035","Kitsap","47.5508","-122.6655","3154","1978","polygon","FALSE","FALSE","America/Los_Angeles","3","98312","1840018407"
"Omak","Omak","WA","Washington","53047","Okanogan","53047","Okanogan","48.4228","-119.5159","8130.0","478","polygon","FALSE","TRUE","America/Los_Angeles","3","98841","1840019761"
"Farmington","Farmington","WA","Washington","53075","Whitman","53075","Whitman","47.0887","-117.0464","154","164","polygon","FALSE","TRUE","America/Los_Angeles","3","99128","1840021140"
"Buckley","Buckley","WA","Washington","53053","Pierce","53053","Pierce","47.1615","-122.0200","4819","482","polygon","FALSE","TRUE","America/Los_Angeles","3","98321","1840018455"
"Cathcart","Cathcart","WA","Washington","53061","Snohomish","53061","Snohomish","47.8525","-122.1058","2506","250","polygon","FALSE","FALSE","America/Los_Angeles","3","98296","1840017324"
"Poulsbo","Poulsbo","WA","Washington","53035","Kitsap","53035","Kitsap","47.7417","-122.6408","10670","869","polygon","FALSE","TRUE","America/Los_Angeles","3","98370","1840019822"
"Anacortes","Anacortes","WA","Washington","53057","Skagit","53057","Skagit","48.4878","-122.6292","17955.0","559","polygon","FALSE","TRUE","America/Los_Angeles","3","98221","1840018366"
"Maplewood","Maplewood","WA","Washington","53053","Pierce","53053","Pierce","47.3715","-122.5689","5340","248","polygon","FALSE","FALSE","America/Los_Angeles","3","98332","1840037569"
"Creston","Creston","WA","Washington","53043","Lincoln","53043","Lincoln","47.7595","-118.5200","226","212","polygon","FALSE","TRUE","America/Los_Angeles","3","99117","1840021109"
"Rockford","Rockford","WA","Washington","53063","Spokane","53063","Spokane","47.4513","-117.1307","477","271","polygon","FALSE","TRUE","America/Los_Angeles","3","99030","1840021095"
"Wishram","Wishram","WA","Washington","53039","Klickitat","53039","Klickitat","45.6599","-120.9698","438","131","polygon","FALSE","FALSE","America/Los_Angeles","3","98673","1840018528"
"Centralia","Centralia","WA","Washington","53041","Lewis","53041","Lewis","46.7225","-122.9695","41643.0","883","polygon","FALSE","TRUE","America/Los_Angeles","3","98531","1840018471"
"South Hill","South Hill","WA","Washington","53053","Pierce","53053","Pierce","47.1203","-122.2848","56379","1185","polygon","FALSE","FALSE","America/Los_Angeles","3","98375 98374 98373","1840037886"
"Longview Heights","Longview Heights","WA","Washington","53015","Cowlitz","53015","Cowlitz","46.1796","-122.9577","3678","337","polygon","FALSE","FALSE","America/Los_Angeles","3","98632","1840037874"
"Erlands Point-Kitsap Lake","Erlands Point-Kitsap Lake","WA","Washington","53035","Kitsap","53035","Kitsap","47.5973","-122.7021","2973","655","polygon","FALSE","TRUE","America/Los_Angeles","3","98312","1840073915"
"Amboy","Amboy","WA","Washington","53011","Clark","53011","Clark","45.9122","-122.4795","2027","78","polygon","FALSE","FALSE","America/Los_Angeles","3","98601 98675","1840017396"
"St. John","St. John","WA","Washington","53075","Whitman","53075","Whitman","47.0915","-117.5887","561","322","polygon","FALSE","TRUE","America/Los_Angeles","3","99171","1840021139"
"Dallesport","Dallesport","WA","Washington","53039","Klickitat","53039","Klickitat","45.6316","-121.1749","1739","99","polygon","FALSE","FALSE","America/Los_Angeles","3","98617 98635","1840018525"
"Ketron Island","Ketron Island","WA","Washington","53053","Pierce","53053","Pierce","47.1569","-122.6343","0","0","polygon","FALSE","TRUE","America/Los_Angeles","3","98388","1840037558"
"Mesa","Mesa","WA","Washington","53021","Franklin","53021","Franklin","46.5737","-119.0013","503","119","polygon","FALSE","TRUE","America/Los_Angeles","3","99326 99343","1840019887"
"Fife","Fife","WA","Washington","53053","Pierce","53053","Pierce","47.2328","-122.3518","10154","684","polygon","FALSE","TRUE","America/Los_Angeles","3","98424","1840019853"
"Moses Lake North","Moses Lake North","WA","Washington","53025","Grant","53025","Grant","47.1949","-119.3186","3787","264","polygon","FALSE","TRUE","America/Los_Angeles","3","98837","1840074436"
"Chewelah","Chewelah","WA","Washington","53065","Stevens","53065","Stevens","48.2929","-117.7336","2637","341","polygon","FALSE","TRUE","America/Los_Angeles","3","99109","1840018360"
"Grayland","Grayland","WA","Washington","53027","Grays Harbor","53027","Grays Harbor","46.8304","-124.0898","756","42","polygon","FALSE","FALSE","America/Los_Angeles","3","98547","1840017360"
